latitude,longitude,sort_name,address
48.84835,2.34269,"Aldington, Richard","Select Hôtel, 1 place de la Sorbonne, Paris"
48.85908,2.32429,"Anderson, Margaret C.","80 rue de l'Université, Paris"
48.85092,2.33845,"Antheil, George","12 rue de l'Odéon, Paris"
48.88241,2.2712,"Aragon, Louis","12 rue Saint-Pierre, Neuilly-sur-Seine"
48.83907,2.33162,"Asch, Nathan","Hôtel Istria, 29 rue Campagne Première, Paris"
48.8477,2.3208,"Barnes, Djuna","9 rue Romain, Paris"
48.85536,2.33564,"Barney, Natalie Clifford","20 rue Jacob, Paris"
48.82231,2.2194,"Beach, Joseph","15 rue des Binelles, Sèvres"
48.85092,2.33845,"Beach, Sylvia","12 rue de l'Odéon, Paris"
48.84184,2.34403,"Beckett, Samuel","École normale supérieure, 45 rue d'Ulm, Paris"
48.84877,2.34104,"Beckett, Samuel","Hôtel Trianon Palace, 1 rue de Vaugirard, Paris"
51.5074,-0.14272,"Beckett, Samuel","Chatto and Windus, 74–75 Piccadilly, London"
48.85527,2.32557,"Benét, Stephen Vincent","4 boulevard Raspail, Paris"
48.85584,2.33484,"Benét, Stephen Vincent","21 rue Visconti, Paris"
48.85778,2.33036,"Bercovici, Konrad","24 rue de Verneuil, Paris"
48.85711,2.28489,"Bird, William","12 rue Vivienne, Paris"
48.85826,2.28675,"Bishop, John Peale","10 Square Alboni, Paris"
48.87384,2.29777,"Bishop, John Peale","Hôtel Lamballe, 45 avenue de Friedland, Paris"
48.8542,2.33269,"Boyd, James","Hotel Montana, 28 rue Saint-Benoît, Paris"
48.8552,2.33695,"Briffault, Robert","49 rue de Seine, Paris"
48.85703,2.34182,"Brinig, Myron","City Hôtel, 29 Place Dauphine, Paris"
48.86651,2.27207,"Bromfield, Louis","25 boulevard Flandrin, Paris"
,,Bryher,
48.83713,2.34214,"Callaghan, Morley","2 square de Port-Royal, Paris"
,,"Clarke, Austin","Hôtel Jules Cesar, Paris"
48.84456,2.32261,"Clark, Elizabeth","Hôtel Versailles, 60 boulevard du Montparnasse, Paris"
48.85092,2.33845,"Colum, Padraic","12 rue de l'Odéon, Paris"
48.85996,2.31835,"Connolly, Cyril","Hotel de Bourgogne, 7 rue de Bourgogne, Paris"
51.50914,-0.13569,"Connolly, Cyril","National Provincial Bank of England, 208 Piccadilly W., London"
48.84133,2.32801,"Connolly, Cyril","Grand Hôtel des Écoles, 15 rue Delambre, Paris"
48.8536,2.33687,"Connolly, Cyril","Hotel de la Louisiane, 60 rue de Seine, Paris"
,,"Cowley, Malcolm",Giverny
48.8359,2.3343,"Coyle, Kathleen","79 rue Denfert-Rochereau, Paris"
48.84969,2.3338,"Coyle, Kathleen","4 rue Férou, Paris"
48.85108,2.35902,"Coyle, Kathleen","6 rue Saint-Louis en l'Île, Paris"
48.85587,2.27626,"de Lanux, Pierre","34 rue des Vignes, Paris"
48.84762,2.33182,"de Lanux, Pierre","57 rue Madame, Paris"
48.88427,2.27859,"Dennis, Mary Cable","19 rue Perronet, Neuilly-sur-Seine"
48.84298,2.33099,"Eastman, Max","Hotel de Lutece, 5 rue Jules Chaplain, Paris"
48.85121,2.33717,"Edel, Leon","5 rue de Tournon, Paris"
,,"Firbank, Ronald","Denby Cottage, Richmond"
48.85069,2.33522,"Fitzgerald, F. Scott","3 rue Palatine, Paris"
48.84951,2.33627,"Flandrau, Grace","34 rue de Vaugirard, Paris"
48.85596,2.33698,"Ford, Ford Madox","31 rue de Seine, Paris"
40.81021,-73.95771,"Ford, Ford Madox","130 Morningside Drive, New York"
48.86715,2.32195,"Ford, Ford Madox","Guaranty Trust Company, 4 place de la Concorde, Paris"
48.85596,2.33333,"Gascoyne, David","Hotel Jacob, 44 rue Jacob, Paris"
48.85135,2.33746,"Gascoyne, David","Hotel de l'Odéon, 13 rue Saint-Sulpice, Paris"
48.85494,2.31997,"Gide, André","1 rue Vaneau, Paris"
48.90389,2.26982,"Gilbert, Stuart","42 avenue Pasteur, Courbevoie"
47.1073,-2.09624,"Gilbert, Stuart","La Chaumine, rue du Casino des Flots, Pornic"
48.85331,2.35379,"Gilbert, Stuart","7 rue Jean de Bellay, Paris"
48.87321,2.28155,"Goldring, Douglas","60 avenue du Bois de Boulogne, Paris"
48.84706,2.32339,"Gordon, Jan","5 rue de Bagneux, Paris"
,,"Gorman, Herbert Sherman",
48.85387,2.27812,"Gramont, Élisabeth de","69 rue Raynouard, Paris"
49.47052,1.07488,"Guilloux, Louis","20 rue le Verrier, Paris"
43.69556,7.26367,"Harris, Frank","American Express, 2 rue du Congrès, Nice"
48.84088,2.33409,"Hemingway, Ernest","113 rue Notre Dame des Champs, Paris"
48.83698,2.32462,"Hemingway, Ernest","69 rue Froidevaux, Paris"
46.47281,7.28668,"Hemingway, Ernest","Hotel Rössli, Promenade 10, Gstaad"
40.41678,-3.70379,"Hemingway, Ernest","Thomas Cook, Madrid"
43.55933,7.12715,"Hemingway, Ernest","112 chemin des Mougins, Antibes"
48.84949,2.33373,"Hemingway, Ernest","6 rue Férou, Paris"
24.55506,-81.77999,"Hemingway, Ernest",Key West
41.39346,2.16379,"Hemingway, Ernest","Hotel Majestic, Passeig de Gràcia 68, Barcelona"
48.85596,2.33333,"Hemingway, Ernest","Hotel Jacob, 44 rue Jacob, Paris"
48.83802,2.33055,"Huddleston, Sisley","248 boulevard Raspail, Paris"
48.85727,2.36354,"Jolas, Eugene","40 bis rue de Sevigné, Paris"
48.83913,2.34707,"Josephson, Matthew","39 rue de l'Arbalète, Paris"
45.65201,13.77801,"Joyce, James","6 via Cesare Battista, Trieste"
48.85665,2.3304,"Joyce, James","9 rue de l'Université, Paris"
48.85431,2.29681,"Joyce, James","26 avenue Charles Floquet, Paris"
48.85656,2.30218,"Joyce, James","Hôtel Eiffel Kensington, 79 avenue de la Bourdonnais, Paris"
48.85613,2.29416,"Joyce, James","8 avenue Charles Floquet, Paris"
48.85544,2.32591,"Joyce, James","5 boulevard Raspail, Paris"
48.85693,2.30038,"Joyce, James","1 avenue Emile Deschanel, Paris"
47.26462,11.39994,"Joyce, James","Grand Hotel Europa, Südtiroler Pl. 2, Innsbruck"
48.84559,2.32883,"Joyce, James","9 rue Huysmans, Paris"
48.84554,2.35023,"Joyce, James","71 rue du Cardinal Lemoine, Paris"
48.84944,2.33911,"Joyce, James","Hôtel Corneille, 5 rue Corneille, Paris"
48.84583,2.32436,"Joyce, James","Victoria Palace Hotel, 6 rue Blaise Desgoffe, Paris"
48.85859,2.32984,"Joyce, James","Hôtel Elysée, 9 rue de Beaune, Paris"
48.85303,2.275,"Joyce, James","5 rue de l'Assomption, Paris"
48.85762,2.30506,"Joyce, James","2 Square Robiac, Paris"
48.86816,2.30039,"Joyce, James","La Résidence, 41 avenue Pierre 1er de Serbie, Paris"
48.85544,2.27685,"Joyce, James","2 avenue Saint-Philibert, Paris"
48.87234,2.30334,"Joyce, James","Hôtel Lancaster, 7 rue de Berri, Paris"
48.86919,2.29771,"Joyce, James","Hôtel Belmont et de Bassano, 28-30 Rue de Bassano, Paris"
48.87346,2.30213,"Joyce, James","Hôtel Lord Byron, 5 rue Chateaubriand, Paris"
48.87022,2.29678,"Joyce, James","42 rue Galilée, Paris"
48.85963,2.30189,"Joyce, James","7 rue Edmond Valentin, Paris"
48.85587,2.27626,"Joyce, James","34 rue des Vignes, Paris"
48.85102,2.3272,"Joyce, James","Hôtel Lutetia, 45 boulevard Raspail, Paris"
48.85544,2.35758,"Joyce, James","Hôtel Powers, 52 rue François 1er, Paris"
45.65201,13.77801,"Joyce, Stanislaus","6 via Cesare Battista, Trieste"
48.84289,2.27014,"Keun, Odette","124 quai d'Auteuil, Paris"
48.84554,2.35023,"Larbaud, Valery","71 rue du Cardinal Lemoine, Paris"
50.83421,-0.27156,"Larbaud, Valery","Hiawatha East, Shoreham-by-Sea"
48.85033,2.33483,"Le Gallienne, Richard","7 rue Servandoni, Paris"
43.78099,7.50984,"Le Gallienne, Richard","Hotel Belle Vue, Menton"
48.84877,2.33206,"Le Gallienne, Richard","60 rue Vaugirard, Paris"
48.85875,2.33116,"Le Gallienne, Richard","Hotel du Quai Voltaire, 19 quai Voltaire, Paris"
48.84563,2.323,"Le Gallienne, Richard","89 rue de Vaugirard, Paris"
48.85312,2.35436,"Le Gallienne, Richard","29 quai de Bourbon, Paris"
48.84668,2.32878,"Le Gallienne, Richard","35 rue de Fleurus, Paris"
48.83955,2.33206,"Lewisohn, Ludwig","14 rue Campagne Première, Paris"
48.80523,2.14987,"Lewisohn, Ludwig","11 bis rue Émile Deschamps, Paris"
48.84184,2.34403,"MacGreevy, Thomas","École normale supérieure, 45 rue d'Ulm, Paris"
48.8408,2.21455,"MacLeish, Archibald","10 parc de Montretout, Saint-Cloud"
48.84535,2.34015,"MacLeish, Archibald","85 boulevard Saint-Michel, Paris"
48.83758,-1.5973,"MacLeish, Archibald","Villa le Lude, rue du Commandant Yvon, Granville"
43.56316,7.12507,"MacLeish, Archibald","Villa Thénard, 90 chemin Gustave Raymond, Antibes"
48.85681,2.32644,"MacLeish, Archibald","44 rue de Bac, Paris"
48.87207,2.2845,"MacLeish, Archibald","41 avenue du Bois de Boulogne, Paris"
48.84752,2.33213,"MacLeish, Archibald","14 rue Guynemer, Paris"
48.85874,2.27367,"MacLeish, Archibald","8 rue Emile Augier, Paris"
48.85708,2.33002,"MacLeish, Archibald","Hotel de l'Université, 22 rue de l'Université, Paris"
42.50981,-72.69953,"MacLeish, Archibald","Cricket Hill Farm, Conway"
40.75146,-73.97603,"MacLeish, Archibald","Fortune, 135 E 42nd Street, New York"
48.84835,2.34269,"Mansfield, Katherine","Select Hôtel, 1 place de la Sorbonne, Paris"
43.6909,7.24406,"McAlmon, Robert","Restaurant Poggi, 11 avenue de la Californie, Nice"
48.85092,2.33845,"McAlmon, Robert","12 rue de l'Odéon, Paris"
51.49921,-0.1598,"McAlmon, Robert","2 Herbert Mansions, 34–36 Sloane Street, London"
48.85019,2.33755,"McKenney, Ruth","21 rue de Tournon, Paris"
48.86989,2.29764,"Merrick, Leonard","Hotel Magellan, 59 avenue Marceau, Paris"
48.84183,2.33093,"Michaud, Régis","123 boulevard du Montparnasse, Paris"
48.85389,2.3413,"Michaux, Henri","16 rue Séguier, Paris"
48.84494,2.32511,"Mims, Edwin","Hotel Royal, 159 rue de Rennes, Paris"
48.82812,2.33535,"Myers, Rollo","1 rue Bruller, Paris"
51.50639,-0.13937,"Ogden, C. K.","Royal Societies Club, 63 St. James's Street, London"
52.20439,0.11779,"Ogden, C. K.","Orthological Instititue, 10 King's Parade, Cambridge"
48.85726,2.3005,"Paul, Elliot","42 avenue de la Bourdonnais, Paris"
48.83962,2.33507,"Porter, Katherine Anne","166 boulevard du Montparnasse, Paris"
48.84275,2.33103,"Porter, Katherine Anne","70 bis rue Notre Dame des Champs, Paris"
48.84896,2.33962,"Porter, Katherine Anne","Hôtel Malherbe, 11 rue de Vaugirard, Paris"
48.84275,2.33104,"Pound, Ezra","70 rue Notre Dame des Champs, Paris"
48.85888,2.33012,"Pound, Ezra","3 rue de Beaune, Paris"
48.85372,2.33025,"Pound, Ezra","Hôtel du Pas de Calais, 59 rue des Saints-Pères, Paris"
48.88277,2.17693,"Pound, Ezra","199 avenue de Paris, Rueil-Malmaison"
48.85737,2.33161,"Rodker, John","Hotel du Pavillon, 6 rue de Verneuil, Paris"
48.83728,2.33692,"Rogers, Samuel","14 rue Cassini, Paris"
48.82908,2.33473,"Romains, Jules","27 avenue René Coty, Paris"
,,"Romains, Jules","27 rue du Parc-de-Montsouris, Paris"
48.84461,2.33221,"Schlumberger, Jean","78 rue d'Assas, Paris"
48.85509,2.33358,"Solano, Solita","Hôtel Saint Germain des Prés, 36 rue Bonaparte, Paris"
51.49603,-0.22107,"Spender, Stephen","Queens Mansions, 11, London"
51.05791,0.83861,"Spender, Stephen",Warehorne
,,"Steffens, Lincoln",
48.84691,2.32937,"Stein, Gertrude","27 rue de Fleurus, Paris"
43.65576,7.15934,"Stein, Gertrude","La Villa des Oliviers, 13 rue des Capucines, Cagnes-sur-Mer"
48.84133,2.33183,"Stern, James","rue René-Pauline, Paris"
,,"Tate, Allen",
48.85171,2.35467,"Tree, Iris","20 quai d'Orléans, Paris"
48.84899,2.33389,"Wescott, Glenway","Savoy Hotel, 30 rue de Vaugirard, Paris"
48.84058,2.32972,"Wescott, Glenway","218 boulevard Raspail, Paris"
48.85016,2.33825,"Wickham, Anna","Hôtel Crebillon, 4 rue Crébillon, Paris"
51.55641,-0.17849,"Wickham, Anna","Saint Edward School, 55 Hampstead High Street, London"
48.8723,2.33073,"Wilder, Thornton","American Express, 11 rue Scribe, Paris"
48.84151,2.34177,"Wilder, Thornton","269 rue Saint-Jacques, Paris"
48.85459,2.33696,"Wilder, Thornton","Hôtel du Maroc, 57 rue de Seine, Paris"
48.85527,2.32557,"Wilson, Margaret","4 boulevard Raspail, Paris"
48.85074,2.33427,"Wilson, Romer","Hôtel Récamier, 3 bis place Saint-Sulpice, Paris"
48.88504,2.2612,"Wright, Richard","166 avenue Charles de Gaulle, Neuilly-sur-Seine"
